ItemNo,Verb,UR,LR,UL,LL
1,Throw,TA,DI,TI,DA
2,Turn-over,DA,TI,DI,TA
3,Scratch,DI,TA,DA,TI
4,Pinch,TI,DA,TA,DI
5,Clean,TA,DI,TI,DA
6,Hit,TI,DA,TA,DI
7,Cover,DA,TI,DI,TA
8,Poke,DI,TA,DA,TI
