ItemNo,Verb,Vb,Prep,NP2
1,Throw,1.18,1.79,2.07
5,Clean,0.46,1.13,1.47
6,Hit,0.37,1.23,1.52
2,Turn-over,1.2,2.48,2.7
7,Cover,0.42,1.48,1.82
4,Pinch,0.1,1.11,1.39
8,Poke,0.21,1.15,1.43
3,Scratch,0.43,1.54,1.83
