ItemNo,Verb,Vb,Prep,NP2
T1,Throw,0.87,1.53,1.85
T2,Point at,0.64,1.53,1.82
T3,Drag,0.83,1.77,2.1
T4,Turn over,1.2,2.48,2.7
T5,Feel,1.33,2.16,2.45
T6,Pinch,0.67,1.74,2.01
T7,Blow on,1.11,2.28,2.52
T8,Scratch,0.92,1.95,2.23
