Name ,Trial,Marker Name,Object Code,Action?,Start
s11,T5,LR,,,00:01:52:08
s11,T5,LR,,x,00:01:53:24
s11,T7,LR,,,00:04:41:12
s11,T7,BL,,,00:04:42:03
s11,T7,LR,,,00:04:42:08
s11,T7,LR,,,00:04:43:18
s11,T7,CN,,,00:04:43:19
s11,T7,UL,,,00:04:43:20
s11,T7,CN,,,00:04:44:13
s11,T7,LR,,,00:04:44:14
s11,T7,LR,,x,00:04:45:16
s11,T3,UR,,,00:06:32:13
s11,T3,BL,,,00:06:32:14
s11,T3,UR,,,00:06:32:18
s11,T3,CN,,,00:06:33:07
s11,T3,OT,,,00:06:34:09
s11,T3,LL,,,00:06:34:10
s11,T3,LL,,x,00:06:35:14
s11,T2,UL,,,00:10:31:17
s11,T2,LL,,,00:10:32:05
s11,T2,UL,,,00:10:33:03
s11,T2,UL,,x,00:10:33:17
s11,T4,UR,,,00:13:25:08
s11,T4,LR,,,00:13:27:06
s11,T4,LL,,,00:13:27:10
s11,T4,LL,,x,00:13:28:10
s11,T6,LR,,,00:16:23:22
s11,T6,CN,,,00:16:25:08
s11,T6,CN,,,00:16:25:09
s11,T6,UL,,,00:16:25:12
s11,T6,UR,,x,00:16:26:17
s11,T1,UL,,,00:20:38:19
s11,T1,UL,,x,00:20:41:03
s11,T8,UL,,,00:25:26:08
s11,T8,BL,,,00:25:27:01
s11,T8,UL,,,00:25:27:07
s11,T8,CN,,,00:25:27:20
s11,T8,LR,,,00:25:27:21
s11,T8,BL,,,00:25:28:13
s11,T8,LL,,,00:25:28:18
s11,T8,BL,,,00:25:29:01
s11,T8,LR,,,00:25:29:04
s11,T8,LR,,x,00:25:29:07
