Name ,Trial,Marker Name,Object Code,Action?,Start
s21,T5,LR,,,00:01:53:22
s21,T5,UR,,,00:01:54:13
s21,T5,BL,,,00:01:55:11
s21,T5,UR,,,00:01:55:15
s21,T5,UR,,x,00:01:56:03
s21,T7,LR,,,00:04:32:18
s21,T7,BL,,,00:04:32:19
s21,T7,LR,,,00:04:33:03
s21,T7,BL,,,00:04:33:23
s21,T7,UL,,,00:04:34:00
s21,T7,BL,,,00:04:34:10
s21,T7,LR,,,00:04:34:14
s21,T7,LR,,x,00:04:35:03
s21,T3,UR,,,00:06:12:19
s21,T3,CN,,,00:06:13:18
s21,T3,BL,,,00:06:13:19
s21,T3,LL,,,00:06:13:21
s21,T3,BL,,,00:06:14:09
s21,T3,LL,,,00:06:14:13
s21,T3,LL,,x,00:06:15:09
s21,T2,UL,,,00:09:28:04
s21,T2,BL,,,00:09:28:15
s21,T2,LL,,,00:09:28:19
s21,T2,UL,,,00:09:29:06
s21,T2,UL,,x,00:09:29:24
s21,T4,UR,,,00:11:51:01
s21,T4,BL,,,00:11:51:13
s21,T4,LL,,,00:11:51:17
s21,T4,LL,,,00:11:53:16
s21,T6,UR,,,00:14:21:14
s21,T6,LR,,,00:14:21:21
s21,T6,BL,,,00:14:22:16
s21,T6,UR,,,00:14:22:19
s21,T6,UR,,x,00:14:24:01
s21,T1,LL,,,00:17:44:24
s21,T1,UL,,,00:17:45:13
s21,T1,LL,,,00:17:46:01
s21,T1,UL,,,00:17:46:07
s21,T1,UL,,x,00:17:47:00
s21,T8,LR,,,00:21:32:01
s21,T8,BL,,,00:21:33:16
s21,T8,LL,,,00:21:33:19
s21,T8,UL,,,00:21:34:11
s21,T8,BL,,,00:21:34:19
s21,T8,LR,,,00:21:34:23
s21,T8,LR,,x,00:21:35:12
